Official names for Earthbound control codes

[00]    linebreak                            -> ↓
[1E 08] change_level(pc, level)              -> @SET_LEVEL(pc, level)
[1E 09] boost_exp(pc, amount)                -> @EXP_UP_POINT(pc, amount)
[1E 0A] boost_iq(pc, amount)                 -> @IQ_UP_POINT(pc, amount)
[1E 0B] boost_guts(pc, amount)               -> @GUTS_UP_POINT(pc, amount)
[1E 0C] boost_speed(pc, amount)              -> @SPEED_UP_POINT(pc, amount)
[1E 0D] boost_vitality(pc, amount)           -> @VITAL_UP_POINT(pc, amount)
[1E 0E] boost_luck(pc, amount)               -> @LUCK_UP_POINT(pc, amount)

[1F 00] music(musicnum)                      -> @BGMSTART(musicnum)
[1F 01] music_stop(arg)                      -> @BGMSTOP(arg)
[1F 02] sound(soundnum)                      -> @SE(soundnum)
[1F 03] music_resume                         -> @MUSISTART()
[1F 04] text_blips(arg)                      -> @MESSAGE_SOUND(arg)
[1F 05] music_switching_off                  -> (This is used in the final game, but I couldn't find it on the source files...)
[1F 06] music_switching_on                   -> (Unused, so we don't have the official name)
[1F 07] music_effect(effectnum)              -> @BGM_EFFECT(effectnum)
[1F 11] party_add(pc)                        -> @ADD_PARTY(pc)
[1F 12] party_remove(pc)                     -> @DEL_PARTY(pc)
[1F 13] char_direction(pc, direction)        -> @SET_PLAYER_DIR(pc, direction)
[1F 14] party_direction(direction)           -> @SET_PARTY_DIR(direction)
[1F 15] create_sprite(spr, scr, style)       -> @MOVE_GOM_CHAR(spr, src, style)
[1F 16] npc_direction(npc, direction)        -> @SET_CHAR_DIR(npc, direction)
[1F 17] create_npc(npc, scr, style)          -> @MOVE_CHAR(npc, src, style)
[1F 18] nop1                                 -> (Unused, so we don't have the official name)
[1F 19] nop2                                 -> (Unused, so we don't have the official name)
[1F 1A] show_npc_emote(npc, emotenum)        -> @SHOW_MANPU_CHAR(npc, emotenum)
[1F 1B] delete_npc_emote(npc)                -> @HIDE_MANPU_CHAR(npc)
[1F 1C] show_char_emote(pc, emotenum)        -> @SHOW_MANPU_PLAYER(pc, emotenum)
[1F 1D] delete_char_emote(pc)                -> @HIDE_MANPU_PLAYER(pc)
[1F 1E] delete_npc(npc, style)               -> @HIDE_CHAR(npc, style)
[1F 1F] delete_sprite(spr, style)            -> @HIDE_GOM_CHAR(spr, style)
[1F 20] teleport(teleportnum, style)         -> @TELEPORT(teleportnum, style)
[1F 21] warp(warpnum)                        -> @WARP(warpnum)
[1F 23] start_battle(group)                  -> @BATTLE(group)
[1F 30] font_normal                          -> @FONTSTD()
[1F 31] font_saturn                          -> @FONTBAKA()
